Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Cebu (CEB)-nan,2025-08-01,563.4360000000001,8.661286223121238,1118.210713776879,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2025-09-01,336.6,-218.1747137768789,891.3747137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2025-10-01,280.5,-274.2747137768789,835.2747137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2025-11-01,233.736,-321.0387137768789,788.5107137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2025-12-01,117.44400000000002,-437.3307137768789,672.218713776879,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-01-01,285.45,-269.3247137768789,840.2247137768788,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-02-01,62.49599999999998,-492.27871377687893,617.2707137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-03-01,175.82399999999998,-378.95071377687896,730.5987137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-04-01,172.536,-382.2387137768789,727.3107137768789,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-05-01,795.2040000000001,240.42928622312115,1349.978713776879,94.87896774193551,-216.92619414289186,406.6841296267629
Cebu (CEB)-nan,2026-06-01,740.8500000000001,186.07528622312122,1295.6247137768792,94.87896774193551,-216.92619414289186,406.6841296267629
Davao City (DVO)-Bacolod City (BCD),2025-07-01,2446.926200869157,959.2286462684731,3934.623755469841,2446.926200869157,959.2286462684731,3934.623755469841
Davao City (DVO)-Bacolod City (BCD),2025-08-01,2071.5519569989438,180.55987541382137,3962.544038584066,2071.5519569989438,180.55987541382137,3962.544038584066
Davao City (DVO)-Bacolod City (BCD),2025-09-01,1486.1040690512684,-615.0276399785987,3587.2357780811353,1486.1040690512684,-615.0276399785987,3587.2357780811353
Davao City (DVO)-Bacolod City (BCD),2025-10-01,3117.124629002738,896.4863884247925,5337.762869580683,3117.124629002738,896.4863884247925,5337.762869580683
Davao City (DVO)-Bacolod City (BCD),2025-11-01,4165.310179650433,1874.1946441322007,6456.425715168666,4165.310179650433,1874.1946441322007,6456.425715168666
