Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Cebgo,IAO-CEB,2022.0,10,2066.112,3.63,5107.15,5335.38,3044.35,262,1731
Philippine Airlines,IAO-CEB,2022.0,10,1538.432,32.57,5107.15,5335.38,3044.35,262,1731
Cebgo,IAO-IAO,2022.0,10,60.768,3.63,10000.0,5335.38,5335.38,262,262
Philippine Airlines,IAO-MNL,2022.0,10,2527.424,32.57,10000.0,5335.38,3757.89,262,6235
Cebgo,ILO-CEB,2022.0,10,1823.04,3.63,10000.0,3247.42,3044.35,671,1731
AirAsia,ILO-MNL,2022.0,10,21141.120000000003,16.79,3507.38,3247.42,3757.89,671,6235
Cebu Pacific,ILO-MNL,2022.0,10,11814.312,47.01,3507.38,3247.42,3757.89,671,6235
Philippine Airlines,ILO-MNL,2022.0,10,18323.824,32.57,3507.38,3247.42,3757.89,671,6235
AirAsia,KLO-MNL,2022.0,10,12186.720000000001,16.79,8482.57,8596.98,3757.89,172,6235
Cebu Pacific,KLO-MNL,2022.0,10,1098.8880000000001,47.01,8482.57,8596.98,3757.89,172,6235
Philippine Airlines,LAO-MNL,2022.0,10,1000.3040000000001,32.57,10000.0,10000.0,3757.89,25,6235
Cebu Pacific,LGP-MNL,2022.0,10,11459.832,47.01,5165.56,5160.26,3757.89,288,6235
Philippine Airlines,LGP-MNL,2022.0,10,7931.328,32.57,5165.56,5160.26,3757.89,288,6235
AirAsia,MNL-BCD,2022.0,10,6718.320000000001,16.79,3595.53,3757.89,3625.97,6235,559
Cebu Pacific,MNL-BCD,2022.0,10,13804.464,47.01,3595.53,3757.89,3625.97,6235,559
Philippine Airlines,MNL-BCD,2022.0,10,12609.648000000001,32.57,3595.53,3757.89,3625.97,6235,559
Philippine Airlines,MNL-BSO,2022.0,10,1263.712,32.57,10000.0,3757.89,10000.0,6235,23
Cebu Pacific,MNL-BXU,2022.0,10,10674.912,47.01,6415.07,3757.89,5959.34,6235,203
Philippine Airlines,MNL-BXU,2022.0,10,3261.088,32.57,6415.07,3757.89,5959.34,6235,203
Philippine Airlines,MNL-CBO,2022.0,10,3361.28,32.57,10000.0,3757.89,10000.0,6235,45
AirAsia,MNL-CEB,2022.0,10,13124.16,16.79,3544.55,3757.89,3044.35,6235,1731
Cebgo,MNL-CEB,2022.0,10,60.768,3.63,3544.55,3757.89,3044.35,6235,1731
Cebu Pacific,MNL-CEB,2022.0,10,24952.016,47.01,3544.55,3757.89,3044.35,6235,1731
Philippine Airlines,MNL-CEB,2022.0,10,18532.288,32.57,3544.55,3757.89,3044.35,6235,1731
AirAsia,MNL-CGY,2022.0,10,2343.6000000000004,16.79,4638.35,3757.89,3578.55,6235,651
Cebu Pacific,MNL-CGY,2022.0,10,20678.0,47.01,4638.35,3757.89,3578.55,6235,651
Philippine Airlines,MNL-CGY,2022.0,10,13029.808,32.57,4638.35,3757.89,3578.55,6235,651
Philippine Airlines,MNL-CRM,2022.0,10,714.272,32.57,10000.0,3757.89,10000.0,6235,13
Philippine Airlines,MNL-CYP,2022.0,10,659.328,32.57,10000.0,3757.89,5243.83,6235,58
Cebu Pacific,MNL-CYZ,2022.0,10,4238.568,47.01,10000.0,3757.89,10000.0,6235,52
Cebu Pacific,MNL-DGT,2022.0,10,10988.880000000001,47.01,5145.18,3757.89,5025.53,6235,221
Philippine Airlines,MNL-DGT,2022.0,10,7789.120000000001,32.57,5145.18,3757.89,5025.53,6235,221
Cebu Pacific,MNL-DPL,2022.0,10,4709.52,47.01,5087.89,3757.89,5067.16,6235,106
