Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_Model,Total_AIC,CebuPac_Model,CebuPac_AIC,Total_Forecast_Avg,CebuPac_Forecast_Avg
Legazpi (DRP)-Cebu (CEB),23,1542.1995652173912,173.79886956521742,11.269544712957977,"SARIMA(0, 0, 1)(0, 1, 0, 12)",195.34035469318272,"SARIMA(0, 0, 0)(0, 1, 0, 12)",179.07127234562182,3376.4244435089045,696.5121363636364
Legazpi (DRP)-Manila (MNL),36,23343.418444444444,12850.339055555556,55.049088402105205,"SARIMA(3, 0, 1)(0, 1, 1, 12)",489.8438563460371,"SARIMA(1, 1, 0)(0, 0, 0, 12)",660.4380205069314,39126.660610996594,598.445615410165
Manila (MNL)-Bacolod City (BCD),39,58143.8961025641,25776.046512820518,44.33147456674101,"SARIMA(1, 0, 0)(1, 0, 0, 12)",830.4879250258887,"SARIMA(1, 0, 3)(1, 0, 0, 12)",775.7419936342701,7745.711251316564,-2545.6315151970134
Manila (MNL)-Butuan (BXU),39,24964.151282051283,17353.257589743596,69.51270801751724,"SARIMA(2, 0, 0)(0, 0, 0, 12)",779.0495919370451,"SARIMA(2, 0, 2)(1, 1, 1, 12)",522.3797985940882,22553.25973147484,6221.426584494721
Manila (MNL)-Cagayan de Oro (CGY),39,50991.994358974356,25134.689076923074,49.29144151526893,"SARIMA(1, 1, 0)(0, 1, 0, 12)",544.4236369343106,"SARIMA(2, 0, 0)(0, 0, 0, 12)",775.7522442502144,-5459.581399665953,22967.089572699904
Manila (MNL)-Caticlan (MPH),39,67391.47266666667,33196.803076923075,49.25964927509732,"SARIMA(1, 0, 0)(1, 1, 1, 12)",585.7372574895155,"SARIMA(3, 0, 0)(0, 0, 0, 12)",808.4229689913184,35704.20126629252,30560.348224236513
Manila (MNL)-Cauayan (CYZ),39,5963.3381538461545,5192.576307692309,87.07499346390863,"SARIMA(3, 0, 1)(0, 1, 0, 12)",479.59296874271,"SARIMA(2, 0, 1)(1, 1, 0, 12)",469.0836970622017,10692.52865003866,5520.805358623563
Manila (MNL)-Cebu (CEB),39,114172.89846153848,44515.885589743586,38.98988830938691,"SARIMA(1, 0, 0)(2, 1, 0, 12)",615.2085771019217,"SARIMA(0, 1, 0)(1, 1, 0, 12)",546.7339917642284,-60859.32985400485,-19168.637737040208
Manila (MNL)-Davao City (DVO),39,87578.54169230767,47448.32553846154,54.17802651380422,"SARIMA(1, 1, 0)(0, 1, 0, 12)",578.8056549675288,"SARIMA(1, 0, 0)(1, 1, 0, 12)",584.2443147175401,-18424.375657163488,25658.384650901993
Manila (MNL)-Dipolog (DPL),39,9476.065282051282,5811.679692307693,61.33009344411817,"SARIMA(0, 0, 2)(0, 0, 0, 12)",703.0526656755584,"SARIMA(0, 0, 2)(0, 0, 0, 12)",673.0508681673149,8633.740860699874,5262.696695967962
