DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
29 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4101),,,,,Landed 11:17 PM,5J405,Cebu Pacific
28 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4156),,,,,Landed 11:40 PM,5J405,Cebu Pacific
27 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),,,,,Landed 11:19 PM,5J405,Cebu Pacific
26 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),,,,,Landed 11:25 PM,5J405,Cebu Pacific
25 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),,,,,Landed 11:28 PM,5J405,Cebu Pacific
24 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:25 PM,5J405,Cebu Pacific
23 May 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),,,,,Landed 11:25 PM,5J405,Cebu Pacific
22 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),,,,,Landed 11:23 PM,5J405,Cebu Pacific
21 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4101),,,,,Landed 11:06 PM,5J405,Cebu Pacific
20 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),,,,,Landed 11:39 PM,5J405,Cebu Pacific
19 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:20 PM,5J405,Cebu Pacific
18 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),,,,,Landed 11:11 PM,5J405,Cebu Pacific
17 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:19 PM,5J405,Cebu Pacific
16 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:26 PM,5J405,Cebu Pacific
15 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:20 PM,5J405,Cebu Pacific
14 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:43 PM,5J405,Cebu Pacific
13 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),,,,,Landed 11:28 PM,5J405,Cebu Pacific
12 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),,,,,Landed 11:03 PM,5J405,Cebu Pacific
11 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:17 PM,5J405,Cebu Pacific
10 May 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),,,,,Landed 11:27 PM,5J405,Cebu Pacific
09 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),,,,,Landed 11:16 PM,5J405,Cebu Pacific
08 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),,,,,Landed 11:23 PM,5J405,Cebu Pacific
07 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:15 PM,5J405,Cebu Pacific
06 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4108),,,,,Landed 11:16 PM,5J405,Cebu Pacific
05 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:27 PM,5J405,Cebu Pacific
04 May 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),,,,,Landed 11:12 PM,5J405,Cebu Pacific
03 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:22 PM,5J405,Cebu Pacific
02 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:23 PM,5J405,Cebu Pacific
01 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:18 PM,5J405,Cebu Pacific
30 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:19 PM,5J405,Cebu Pacific
29 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:10 PM,5J405,Cebu Pacific
28 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:26 PM,5J405,Cebu Pacific
27 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:06 PM,5J405,Cebu Pacific
26 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:20 PM,5J405,Cebu Pacific
25 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),,,,,Landed 11:09 PM,5J405,Cebu Pacific
24 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4262),,,,,Landed 11:19 PM,5J405,Cebu Pacific
23 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4101),,,,,Landed 11:18 PM,5J405,Cebu Pacific
22 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),,,,,Landed 11:10 PM,5J405,Cebu Pacific
21 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4263),,,,,Landed 11:17 PM,5J405,Cebu Pacific
20 Apr 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3277),,,,,Landed 11:22 PM,5J405,Cebu Pacific
