DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
24-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:19,1:05 PM,1:54 PM,2:55 PM,Landed 3:13 PM,5J773,Cebu Pacific
23-Jun-25,Manila (MNL),Cebu (CEB),A20N (RP-C3239),,3:53 PM,,3:53 PM,Landed 3:53 PM,5J773,Cebu Pacific
23-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:18,1:05 PM,1:32 PM,2:55 PM,Landed 2:51 PM,5J773,Cebu Pacific
22-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:15,1:05 PM,1:19 PM,2:55 PM,Landed 2:33 PM,5J773,Cebu Pacific
21-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3287),1:19,1:05 PM,1:49 PM,2:55 PM,Landed 3:08 PM,5J773,Cebu Pacific
20-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:18,1:05 PM,1:25 PM,2:55 PM,Landed 2:43 PM,5J773,Cebu Pacific
19-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:12,1:05 PM,1:39 PM,2:55 PM,Landed 2:51 PM,5J773,Cebu Pacific
18-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:15,1:05 PM,2:39 PM,2:55 PM,Landed 3:54 PM,5J773,Cebu Pacific
17-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:13,1:05 PM,1:13 PM,2:55 PM,Landed 2:26 PM,5J773,Cebu Pacific
16-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:16,1:05 PM,1:34 PM,2:55 PM,Landed 2:50 PM,5J773,Cebu Pacific
15-Jun-25,Manila (MNL),Pagadian (PAG),A320 (RP-C3279),1:15,1:05 PM,1:22 PM,2:55 PM,Landed 2:37 PM,5J773,Cebu Pacific
14-Jun-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4102),1:15,1:05 PM,1:34 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
13-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:25,1:05 PM,1:30 PM,2:55 PM,Landed 2:56 PM,5J773,Cebu Pacific
12-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4267),1:08,1:05 PM,1:14 PM,2:55 PM,Landed 2:22 PM,5J773,Cebu Pacific
11-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),,1:05 PM,1:45 PM,2:55 PM,Diverted to CEB,5J773,Cebu Pacific
10-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:17,1:05 PM,1:24 PM,2:55 PM,Landed 2:41 PM,5J773,Cebu Pacific
9-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:11,1:05 PM,1:42 PM,2:55 PM,Landed 2:52 PM,5J773,Cebu Pacific
8-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:17,1:05 PM,1:08 PM,2:55 PM,Landed 2:25 PM,5J773,Cebu Pacific
7-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:18,1:05 PM,1:35 PM,2:55 PM,Landed 2:53 PM,5J773,Cebu Pacific
6-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4266),1:19,1:05 PM,1:21 PM,2:55 PM,Landed 2:40 PM,5J773,Cebu Pacific
5-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:22,1:05 PM,2:03 PM,2:55 PM,Landed 3:25 PM,5J773,Cebu Pacific
4-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:16,1:05 PM,1:39 PM,2:55 PM,Landed 2:55 PM,5J773,Cebu Pacific
3-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:09,1:05 PM,1:30 PM,2:55 PM,Landed 2:39 PM,5J773,Cebu Pacific
2-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:10,1:05 PM,1:30 PM,2:55 PM,Landed 2:41 PM,5J773,Cebu Pacific
1-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4135),1:17,1:05 PM,1:48 PM,2:55 PM,Landed 3:05 PM,5J773,Cebu Pacific
31-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:14,1:05 PM,1:42 PM,2:55 PM,Landed 2:56 PM,5J773,Cebu Pacific
30-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4266),1:11,1:05 PM,2:04 PM,2:55 PM,Landed 3:15 PM,5J773,Cebu Pacific
29-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:12,1:05 PM,1:22 PM,2:55 PM,Landed 2:34 PM,5J773,Cebu Pacific
28-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4135),1:10,1:05 PM,1:32 PM,2:55 PM,Landed 2:42 PM,5J773,Cebu Pacific
27-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4101),1:14,1:05 PM,2:20 PM,2:55 PM,Landed 3:35 PM,5J773,Cebu Pacific
26-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4156),1:09,1:05 PM,1:50 PM,2:55 PM,Landed 2:58 PM,5J773,Cebu Pacific
25-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:20,1:05 PM,1:44 PM,2:55 PM,Landed 3:04 PM,5J773,Cebu Pacific
24-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4104),1:19,1:05 PM,2:47 PM,2:55 PM,Landed 4:06 PM,5J773,Cebu Pacific
23-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4268),1:18,1:05 PM,1:55 PM,2:55 PM,Landed 3:13 PM,5J773,Cebu Pacific
22-May-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4104),1:14,1:05 PM,1:58 PM,2:55 PM,Landed 3:12 PM,5J773,Cebu Pacific
21-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:14,1:05 PM,1:44 PM,2:55 PM,Landed 2:58 PM,5J773,Cebu Pacific
20-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4267),1:15,1:05 PM,1:52 PM,2:55 PM,Landed 3:07 PM,5J773,Cebu Pacific
19-May-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:15,1:05 PM,1:47 PM,2:55 PM,Landed 3:01 PM,5J773,Cebu Pacific
