Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Travelers_From_log,Travelers_To_log,Establishment_From_log,Establishment_To_log,AirFli_From_log,AirFli_To_log,OFW_From_log,OFW_To_log,cluster_elbow,cluster_elbow_dist_to_centroid
CEB-SJI,CEB,SJI,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.225,0.5096,0.0171,1.891,1.9857,0.0813,0.0183,2606,1095,7517450,2810208,386,51,0,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,6.714170529909472,0.0,7.865955413933502,6.999422467507961,1,3.276538587301821
CEB-SUG,CEB,SUG,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.0282,0.5096,0.0533,1.891,1.8999,0.0813,0.0128,2606,920,7517450,1728856,386,47,0,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,6.714170529909472,0.0,7.865955413933502,6.825460036255307,1,3.533805849022108
CEB-TAC,CEB,TAC,2022,10,60.768,26.09,6143.38,3321.96,3179.68,823,14,0.0056,0.0177,0.5096,0.1266,1.891,1.7168,0.0813,0.1699,2606,1528,7517450,1695713,386,103,1,15.832737675699201,14.343614449038526,5.958424693029782,4.6443908991413725,6.714170529909472,2.70805020110221,7.865955413933502,7.332369205929062,1,2.2323515439414847
CEB-TAG,CEB,TAG,2022,10,0.0,0.0,0.0,3321.96,3446.22,823,173,0.0056,0.0022,0.5096,0.746,1.891,1.9782,0.0813,0.0037,2606,2606,7517450,7517450,386,386,0,15.832737675699201,15.832737675699201,5.958424693029782,5.958424693029782,6.714170529909472,5.159055299214529,7.865955413933502,7.865955413933502,1,2.759870751655768
CEB-USU,CEB,USU,2022,10,1458.432,66.16,5522.29,3321.96,5642.58,823,39,0.0056,0.0053,0.5096,0.0456,1.891,1.9757,0.0813,0.0016,2606,1095,7517450,2810208,386,51,1,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,6.714170529909472,3.6888794541139363,7.865955413933502,6.999422467507961,1,1.3486815794195388
CEB-ZAM,CEB,ZAM,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.0394,0.5096,0.0863,1.891,1.405,0.0813,0.2669,2606,1263,7517450,1953463,386,64,0,15.832737675699201,14.48511476484572,5.958424693029782,4.174387269895637,6.714170529909472,0.0,7.865955413933502,7.142036574706803,1,4.209591087600851
CGM-CEB,CGM,CEB,2022,10,0.0,0.0,0.0,0.0,2867.88,0,908,0.0017,0.0056,0.0699,0.5096,1.9936,1.891,0.0058,0.0813,1573,2606,2941319,7517450,135,386,0,14.894369018145523,15.832737675699201,4.912654885736052,5.958424693029782,0.0,6.812345094177479,7.3613754289773485,7.865955413933502,0,3.221746821161139
CGY-CEB,CGY,CEB,2022,10,5772.96,70.05,5804.0,3419.79,2867.88,323,908,0.072,0.0056,0.0369,0.5096,1.9531,1.891,0.0014,0.0813,1573,2606,2941319,7517450,135,386,1,14.894369018145523,15.832737675699201,4.912654885736052,5.958424693029782,5.780743515792329,6.812345094177479,7.3613754289773485,7.865955413933502,0,1.4596731832251977
CGY-DVO,CGY,DVO,2022,10,60.768,100.0,10000.0,3419.79,5046.04,323,350,0.072,0.6037,0.0369,0.4554,1.9531,1.7601,0.0014,0.1592,1573,1837,2941319,4116016,135,205,1,14.894369018145523,15.230396506151067,4.912654885736052,5.327876168789581,5.780743515792329,5.860786223465865,7.3613754289773485,7.516433302915632,0,2.4208286645338934
CGY-ILO,CGY,ILO,2022,10,0.0,0.0,0.0,3419.79,3287.93,323,332,0.072,2.0,0.0369,0.001,1.9531,1.9149,0.0014,0.0007,1573,2618,2941319,5909568,135,147,0,14.894369018145523,15.592083459480998,4.912654885736052,4.997212273764115,5.780743515792329,5.808142489980444,7.3613754289773485,7.870547844507712,0,2.4830276079949645
CGY-MNL,CGY,MNL,2022,10,16245.312,50.7,4384.32,3419.79,3770.31,323,3440,0.072,0.1691,0.0369,0.5725,1.9531,1.9891,0.0014,0.1717,1573,4565,2941319,7348669,135,1351,1,14.894369018145523,15.81002990243421,4.912654885736052,7.20934025660291,5.780743515792329,8.14351740579748,7.3613754289773485,8.42639282708974,0,1.892929500406723
CGY-TAC,CGY,TAC,2022,10,0.0,0.0,0.0,3419.79,3179.68,323,14,0.072,0.0177,0.0369,0.1266,1.9531,1.7168,0.0014,0.1699,1573,1528,2941319,1695713,135,103,0,14.894369018145523,14.343614449038526,4.912654885736052,4.6443908991413725,5.780743515792329,2.70805020110221,7.3613754289773485,7.332369205929062,1,3.518196867497058
CRK-BSO,CRK,BSO,2022,10,0.0,0.0,0.0,10000.0,10000.0,10,23,0.0065,0.0348,0.1865,0.2377,1.2661,1.996,0.1108,0.0006,3779,1216,5691259,1113791,243,46,0,15.554442222712828,13.923280967493845,5.497168225293202,3.8501476017100584,2.3978952727983707,3.1780538303479458,8.237479288613633,7.104144092987527,1,4.529250820468857
CRK-CEB,CRK,CEB,2022,10,607.68,100.0,10000.0,10000.0,2867.88,10,908,0.0065,0.0056,0.1865,0.5096,1.2661,1.891,0.1108,0.0813,3779,2606,5691259,7517450,243,386,1,15.554442222712828,15.832737675699201,5.497168225293202,5.958424693029782,2.3978952727983707,6.812345094177479,8.237479288613633,7.865955413933502,0,3.632370690811967
CRK-DVO,CRK,DVO,2022,10,0.0,0.0,0.0,10000.0,5046.04,10,350,0.0065,0.6037,0.1865,0.4554,1.2661,1.7601,0.1108,0.1592,3779,1837,5691259,4116016,243,205,0,15.554442222712828,15.230396506151067,5.497168225293202,5.327876168789581,2.3978952727983707,5.860786223465865,8.237479288613633,7.516433302915632,1,3.865693742555887
CRK-ENI,CRK,ENI,2022,10,0.0,0.0,0.0,10000.0,0.0,10,0,0.0065,0.0141,0.1865,0.2391,1.2661,1.9942,0.1108,0.0021,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,2.3978952727983707,0.0,8.237479288613633,6.999422467507961,1,4.603974798757553
CRK-IAO,CRK,IAO,2022,10,0.0,0.0,0.0,10000.0,5291.01,10,153,0.0065,0.0426,0.1865,0.0,1.2661,1.977,0.1108,0.0025,3779,920,5691259,1728856,243,47,0,15.554442222712828,14.362971054478116,5.497168225293202,3.871201010907891,2.3978952727983707,5.0369526024136295,8.237479288613633,6.825460036255307,1,3.8616299123776887
CRK-ILO,CRK,ILO,2022,10,0.0,0.0,0.0,10000.0,3287.93,10,332,0.0065,2.0,0.1865,0.001,1.2661,1.9149,0.1108,0.0007,3779,2618,5691259,5909568,243,147,0,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,2.3978952727983707,5.808142489980444,8.237479288613633,7.870547844507712,0,3.9698085346439766
CRK-KLO,CRK,KLO,2022,10,0.0,0.0,0.0,10000.0,8715.81,10,87,0.0065,0.0773,0.1865,0.1044,1.2661,1.8404,0.1108,0.0029,3779,2618,5691259,5909568,243,147,0,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,2.3978952727983707,4.477336814478207,8.237479288613633,7.870547844507712,1,4.127962431866418
CRK-MBT,CRK,MBT,2022,10,0.0,0.0,0.0,10000.0,10000.0,10,1,0.0065,0.0,0.1865,0.052,1.2661,1.9706,0.1108,0.0011,3779,1909,5691259,4631579,243,93,0,15.554442222712828,15.348408620548742,5.497168225293202,4.543294782270004,2.3978952727983707,0.6931471805599453,8.237479288613633,7.554858521040676,1,4.430711346750117
CRK-MNL,CRK,MNL,2022,10,0.0,0.0,0.0,10000.0,3770.31,10,3440,0.0065,0.1691,0.1865,0.5725,1.2661,1.9891,0.1108,0.1717,3779,4565,5691259,7348669,243,1351,0,15.554442222712828,15.81002990243421,5.497168225293202,7.20934025660291,2.3978952727983707,8.14351740579748,8.237479288613633,8.42639282708974,0,3.8087363602668303
CRK-MPH,CRK,MPH,2022,10,0.0,0.0,0.0,10000.0,3437.64,10,386,0.0065,0.0902,0.1865,1.3168,1.2661,1.9746,0.1108,0.0014,3779,2618,5691259,5909568,243,147,0,15.554442222712828,15.592083459480998,5.497168225293202,4.997212273764115,2.3978952727983707,5.958424693029782,8.237479288613633,7.870547844507712,0,3.9523685244763533
CRK-PPS,CRK,PPS,2022,10,0.0,0.0,0.0,10000.0,4145.35,10,158,0.0065,0.0354,0.1865,0.2292,1.2661,1.3649,0.1108,0.1602,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,2.3978952727983707,5.0689042022202315,8.237479288613633,6.999422467507961,1,3.8370304642974586
CRK-SJI,CRK,SJI,2022,10,0.0,0.0,0.0,10000.0,0.0,10,0,0.0065,0.225,0.1865,0.0171,1.2661,1.9857,0.1108,0.0183,3779,1095,5691259,2810208,243,51,0,15.554442222712828,14.84876941576828,5.497168225293202,3.9512437185814275,2.3978952727983707,0.0,8.237479288613633,6.999422467507961,1,4.57991791440198
CRK-TAG,CRK,TAG,2022,10,0.0,0.0,0.0,10000.0,3446.22,10,173,0.0065,0.0022,0.1865,0.746,1.2661,1.9782,0.1108,0.0037,3779,2606,5691259,7517450,243,386,0,15.554442222712828,15.832737675699201,5.497168225293202,5.958424693029782,2.3978952727983707,5.159055299214529,8.237479288613633,7.865955413933502,0,3.907496103842811
