Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,PPS-MNL,2022,9,1612.768,14.15,4083.54,3701.13,3934.0,90,2179
Philippine Airlines,TAC-CEB,2022,9,1043.936,89.97,8195.2,4721.84,2957.6,158,594
Philippine Airlines,TAC-MNL,2022,9,601.152,2.92,5213.14,4721.84,3934.0,158,2179
Philippine Airlines,TAG-DVO,2022,9,769.216,100.0,10000.0,3536.56,5260.19,130,227
Philippine Airlines,TAG-MNL,2022,9,4864.16,25.59,3605.1,3536.56,3934.0,130,2179
Philippine Airlines,USU-CEB,2022,9,604.384,37.93,5291.37,5102.04,2957.6,61,594
Philippine Airlines,USU-MNL,2022,9,879.104,47.06,5017.29,5102.04,3934.0,61,2179
Philippine Airlines,ZAM-CEB,2022,9,494.496,100.0,10000.0,5966.84,2957.6,97,594
Philippine Airlines,ZAM-MNL,2022,9,3757.2,25.59,6191.7,5966.84,3934.0,97,2179
AirAsia,BCD-MNL,2022,10,10936.8,19.91,3614.72,3631.88,3770.31,338,3440
AirAsia,CEB-MNL,2022,10,7499.52,14.09,4464.57,3321.96,3770.31,823,3440
AirAsia,CGY-MNL,2022,10,2343.6,7.35,4384.32,3419.79,3770.31,323,3440
AirAsia,ILO-MNL,2022,10,21141.12,40.7,3513.3,3291.41,3770.31,339,3440
AirAsia,KLO-MNL,2022,10,12186.72,91.76,8487.8,8488.58,3770.31,85,3440
AirAsia,MNL-BCD,2022,10,6874.56,20.27,3592.26,3720.46,3634.63,2796,223
AirAsia,MNL-CEB,2022,10,13124.16,22.91,3535.08,3720.46,2867.88,2796,908
AirAsia,MNL-CGY,2022,10,2343.6,6.43,4605.07,3720.46,3773.84,2796,328
AirAsia,MNL-ILO,2022,10,16717.68,33.19,3523.29,3720.46,3287.93,2796,332
AirAsia,MNL-KLO,2022,10,12499.2,93.02,8701.44,3720.46,8715.81,2796,87
AirAsia,MNL-MPH,2022,10,14061.6,28.83,3275.92,3720.46,3437.64,2796,386
AirAsia,MNL-PPS,2022,10,2812.32,15.65,4637.56,3720.46,4145.35,2796,158
AirAsia,MNL-TAC,2022,10,624.96,40.0,3400.0,3720.46,3179.68,2796,14
AirAsia,MNL-TAG,2022,10,8436.96,33.6,3396.38,3720.46,3446.22,2796,173
AirAsia,MPH-KLO,2022,10,156.24,100.0,10000.0,3385.69,8715.81,463,87
AirAsia,MPH-MNL,2022,10,18592.56,30.66,3270.23,3385.69,3770.31,463,3440
AirAsia,MPH-MPH,2022,10,156.24,50.0,5000.0,3385.69,3437.64,463,386
AirAsia,PPS-MNL,2022,10,7655.76,30.19,3348.47,3383.27,3770.31,182,3440
AirAsia,RXS-MNL,2022,10,2031.12,20.31,6283.66,6284.18,3770.31,64,3440
AirAsia,TAC-MNL,2022,10,11718.0,32.61,4673.31,4284.39,3770.31,263,3440
AirAsia,TAG-MNL,2022,10,7812.0,25.9,3556.33,3517.81,3770.31,198,3440
Cebgo,BXU-CEB,2022,10,546.912,82.65,7132.05,5950.78,2867.88,100,908
Cebgo,CEB-BXU,2022,10,546.912,82.65,7132.05,3321.96,5826.92,823,103
Cebgo,CEB-CGY,2022,10,4192.992,61.88,5282.27,3321.96,3773.84,823,328
Cebgo,CEB-CRK,2022,10,607.68,100.0,10000.0,3321.96,10000.0,823,10
Cebgo,CEB-CYP,2022,10,1215.36,100.0,10000.0,3321.96,5382.53,823,32
Cebgo,CEB-IAO,2022,10,3342.24,66.0,5512.0,3321.96,5291.01,823,153
Cebgo,CEB-ILO,2022,10,1883.808,100.0,10000.0,3321.96,3287.93,823,332
Cebgo,CEB-PAG,2022,10,546.912,100.0,10000.0,3321.96,8183.56,823,40
Cebgo,CEB-TAC,2022,10,60.768,26.09,6143.38,3321.96,3179.68,823,14
Cebgo,CEB-USU,2022,10,1458.432,66.16,5522.29,3321.96,5642.58,823,39
Cebgo,CGY-CEB,2022,10,5772.96,70.05,5804.0,3419.79,2867.88,323,908
Cebgo,CGY-DVO,2022,10,60.768,100.0,10000.0,3419.79,5046.04,323,350
Cebgo,CRK-CEB,2022,10,607.68,100.0,10000.0,10000.0,2867.88,10,908
Cebgo,CYP-CEB,2022,10,850.752,100.0,10000.0,5055.4,2867.88,26,908
Cebgo,DVO-CGY,2022,10,60.768,100.0,10000.0,5074.83,3773.84,343,328
Cebgo,IAO-CEB,2022,10,2066.112,56.25,5078.12,5553.2,2867.88,109,908
Cebgo,IAO-IAO,2022,10,60.768,100.0,10000.0,5553.2,5291.01,109,153
Cebgo,ILO-CEB,2022,10,1823.04,100.0,10000.0,3291.41,2867.88,339,908
Cebgo,MNL-CEB,2022,10,60.768,0.11,3535.08,3720.46,2867.88,2796,908
Cebgo,MNL-MBT,2022,10,60.768,100.0,10000.0,3720.46,10000.0,2796,1
Cebgo,MNL-MPH,2022,10,1397.664,2.85,3275.92,3720.46,3437.64,2796,386
Cebgo,MNL-USU,2022,10,60.768,100.0,10000.0,3720.46,5642.58,2796,39
Cebgo,MNL-WNP,2022,10,1458.432,100.0,10000.0,3720.46,10000.0,2796,24
Cebgo,MPH-MNL,2022,10,1458.432,2.39,3270.23,3385.69,3770.31,463,3440
Cebgo,OZC-CEB,2022,10,1579.968,100.0,10000.0,4376.84,2867.88,86,908
Cebgo,PAG-CEB,2022,10,2005.344,100.0,10000.0,7073.97,2867.88,92,908
Cebgo,TAC-CEB,2022,10,486.144,25.31,6219.19,4284.39,2867.88,263,908
Cebgo,USU-CEB,2022,10,1519.2,68.81,5707.63,5168.02,2867.88,90,908
Cebgo,USU-MNL,2022,10,1579.968,51.43,5004.09,5168.02,3770.31,90,3440
Cebgo,USU-USU,2022,10,60.768,100.0,10000.0,5168.02,5642.58,90,39
Cebgo,WNP-MNL,2022,10,1397.664,100.0,10000.0,10000.0,3770.31,23,3440
Cebu Pacific,BCD-DVO,2022,10,156.984,100.0,10000.0,3631.88,5046.04,338,350
Cebu Pacific,BCD-MNL,2022,10,23444.632,42.48,3614.72,3631.88,3770.31,338,3440
Cebu Pacific,BXU-MNL,2022,10,10517.928,77.28,6488.4,5950.78,3770.31,100,3440
Cebu Pacific,CEB-DVO,2022,10,4395.552,57.33,5107.46,3321.96,5046.04,823,350
Cebu Pacific,CEB-MNL,2022,10,32039.928,59.93,4464.57,3321.96,3770.31,823,3440
Cebu Pacific,CEB-MPH,2022,10,4552.536,87.82,7860.7,3321.96,3437.64,823,386
Cebu Pacific,CGY-MNL,2022,10,16245.312,50.7,4384.32,3419.79,3770.31,323,3440
Cebu Pacific,CYZ-MNL,2022,10,3924.6,100.0,10000.0,10000.0,3770.31,25,3440
Cebu Pacific,DGT-MNL,2022,10,6750.312,46.01,5031.84,5031.87,3770.31,96,3440
Cebu Pacific,DPL-MNL,2022,10,4395.552,53.85,5029.65,5029.59,3770.31,52,3440
Cebu Pacific,DVO-BCD,2022,10,156.984,100.0,10000.0,5074.83,3634.63,343,223
Cebu Pacific,DVO-CEB,2022,10,4552.536,58.02,5128.64,5074.83,2867.88,343,908
Cebu Pacific,DVO-MNL,2022,10,25805.3,57.54,5113.7,5074.83,3770.31,343,3440
Cebu Pacific,GES-MNL,2022,10,13264.304,60.87,5236.31,5236.21,3770.31,92,3440
Cebu Pacific,ILO-MNL,2022,10,11814.312,22.63,3513.3,3291.41,3770.31,339,3440
Cebu Pacific,KLO-MNL,2022,10,1098.888,8.24,8487.8,8488.58,3770.31,85,3440
Cebu Pacific,LGP-MNL,2022,10,11459.832,58.04,5129.28,5129.3,3770.31,141,3440
Cebu Pacific,MNL-BCD,2022,10,13998.584,41.08,3592.26,3720.46,3634.63,2796,223
Cebu Pacific,MNL-BXU,2022,10,10674.912,75.81,6332.31,3720.46,5826.92,2796,103
Cebu Pacific,MNL-CEB,2022,10,24952.016,43.35,3535.08,3720.46,2867.88,2796,908
Cebu Pacific,MNL-CGY,2022,10,20678.0,56.43,4605.07,3720.46,3773.84,2796,328
Cebu Pacific,MNL-CYZ,2022,10,4238.568,100.0,10000.0,3720.46,10000.0,2796,27
Cebu Pacific,MNL-DGT,2022,10,10988.88,57.46,5111.3,3720.46,5111.25,2796,125
Cebu Pacific,MNL-DPL,2022,10,4709.52,55.56,5061.83,3720.46,5061.73,2796,54
