DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
5/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:11:00,9:45:00,9:36:00,11:15:00,Landed 10:47 AM,PR2688,Philippine Airlines
5/20/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:11:00,9:45:00,9:34:00,11:15:00,Landed 10:45 AM,PR2688,Philippine Airlines
5/19/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:10:00,9:45:00,9:25:00,11:15:00,Landed 10:36 AM,PR2688,Philippine Airlines
5/18/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:14:00,9:45:00,9:35:00,11:15:00,Landed 10:49 AM,PR2688,Philippine Airlines
5/17/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:10:00,9:45:00,9:31:00,11:15:00,Landed 10:41 AM,PR2688,Philippine Airlines
5/16/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:13:00,9:45:00,9:44:00,11:15:00,Landed 10:58 AM,PR2688,Philippine Airlines
5/15/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:13:00,9:45:00,9:37:00,11:15:00,Landed 10:50 AM,PR2688,Philippine Airlines
5/14/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:13:00,9:45:00,9:40:00,11:15:00,Landed 10:53 AM,PR2688,Philippine Airlines
5/13/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:14:00,9:45:00,9:29:00,11:15:00,Landed 10:43 AM,PR2688,Philippine Airlines
5/12/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:14:00,9:45:00,9:22:00,11:15:00,Landed 10:36 AM,PR2688,Philippine Airlines
5/11/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:07:00,9:45:00,9:32:00,11:15:00,Landed 10:40 AM,PR2688,Philippine Airlines
5/10/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:10:00,9:45:00,9:33:00,11:15:00,Landed 10:44 AM,PR2688,Philippine Airlines
5/9/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:10:00,9:45:00,9:32:00,11:15:00,Landed 10:43 AM,PR2688,Philippine Airlines
5/8/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:14:00,9:45:00,9:45:00,11:15:00,Landed 10:59 AM,PR2688,Philippine Airlines
